SEVERITY NAME,ISSUED BY,PROBLEM TYPE NAME,PROBLEM,SOLVED BY,CSR GROUP,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SUPPORT ZONE,ISSUED BY GROUP,SOLVED COMMENT,PLANCAT TYPE,,,
Full Service Affected,ganga.lama,Accounts Related Issue,Payment Query..,admin,Phone Support CSR,Auto close by sub tt:10289671,,Payment Query,Field Support,MURGIYA,Phone Support CSR,suggested to visit branch,BTL,,,
Full Service Affected,karan.magar,IPTV Related Issues,No package details found..,khagendra.rana,Fiber O&M,Auto close by sub tt:10360085,,No package details found,Field Support,SITAPAILA,Phone Support CSR,,ATL,,,
Full Service Affected,binita.shrestha,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10374809,,ONU status offline,Field Support,BALAJU,Phone Support CSR,,ATL,,,
Full Service Affected,partik.shakya,Accounts Related Issue,IPTV Related Issues...,admin,Phone Support CSR,Auto close by sub tt:10249850,,IPTV Related Issues.,Field Support,SALLAGHARI,Sales Call Center,,ATL,,,
Full Service Affected,abhishek.karki,General Inquiry,Query about current internet c..,admin,Phone Support CSR,Auto close by sub tt:10277776,,Query about current internet connectivity,Field Support,BALAJU,Phone Support CSR,active,ATL,,,
Full Service Affected,sudhira.shakya,Accounts Related Issue,Account extend request..,admin,Phone Support CSR,Auto close by sub tt:10298149,,Account extend request,Field Support,NEWBANESHWOR,Phone Support CSR,account extended done for 3 days as per client request,ATL,,,
Full Service Affected,prasansha.lama,IPTV Related Issues,NET TV mobile app related..,admin,Phone Support CSR,Auto close by sub tt:10295887,,NET TV mobile app related,Field Support,KALIMATI,Phone Support CSR,,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Everything seems slow at clien..,admin,Phone Support CSR,Auto close by sub tt:10362432,,Everything seems slow at client end devices.,Field Support,SATUNGAL,Phone Support CSR,,ATL,,,
Full Service Affected,anita.acharya1,Accounts Related Issue,Payment Query..,admin,Phone Support CSR,Auto close by sub tt:10442866,,Payment Query,Field Support,SITAPAILA,Phone Support CSR,,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Everything seems slow at clien..,admin,Phone Support CSR,Auto close by sub tt:10361772,,Everything seems slow at client end devices.,Field Support,KALIMATI,Phone Support CSR,,ATL,,,
Full Service Affected,balkrishna.thami,Accounts Related Issue,Refer Offer Query...,buddhiman.lama,Field Support CSR,Auto close by sub tt:10367991,,Refer Offer Query.,Field Support,KOTESHWOR,Phone Support CSR,,ATL,,,
Full Service Affected,anita.acharya1,General Inquiry,Technical Query..,jitensingh.tharu,Field Team,Auto close by sub tt:10307025,,Technical Query,Field Support,KALIMATI,Phone Support CSR,reset done,ATL,,,
Full Service Affected,bishal1.basnet,No Internet Connection (FTTH),ONU status offline..,motiram.bastola,Field Team,Auto close by sub tt:10345729,,ONU status offline,Field Support,NEWBANESHWOR,Phone Support CSR,,ATL,,,
Full Service Affected,buddha.majhi,IPTV Related Issues,NETTV extend request..,admin,Phone Support CSR,Auto close by sub tt:10421629,,NETTV extend request,Field Support,DHOLAHITI,Phone Support CSR,,ATL,,,
Full Service Affected,unique.shrestha,Slow Internet Connection (FTTH),High Latency seen in single de..,admin,Phone Support CSR,Auto close by sub tt:10275772,,High Latency seen in single device with good RSSI,Field Support,NEWBANESHWOR,Phone Support CSR,CURRENTLY ISSUE DUE TO INTERNATIONAL LINK DOWN//ISSUE REPORTED TO L2 TEAM,ATL,,,
Full Service Affected,alina.moktan,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10297549,,Technical Query,Field Support,BIRTAMOD,Phone Support CSR,,ATL,,,
Full Service Affected,rachana.chaudhary,Slow Internet Connection (FTTH),Channel Interference..,admin,Phone Support CSR,Auto close by sub tt:10293133,,Channel Interference,Field Support,KOTESHWOR,Phone Support CSR,,ATL,,,
Full Service Affected,pradeep.chapagain,Slow Internet Connection (FTTH),High Latency seen in single de..,admin,Phone Support CSR,Auto close by sub tt:10279455,,High Latency seen in single device with good RSSI,Field Support,NEWBANESHWOR,Phone Support CSR,high latency//suggest to hardereset and check a whlie,ATL,,,
Full Service Affected,nabina.maharjan,Accounts Related Issue,Query about Packages..,admin,Phone Support CSR,Auto close by sub tt:10272639,,Query about Packages,Field Support,BOUDDHA,Phone Support CSR,Follow up done ,ATL,,,
Full Service Affected,sanju.magar,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10257864,,Query about Wi-fi SSID/password,Field Support,MAHENDRAPOOL,Phone Support CSR,ssid enable ,BTL,,,
Full Service Affected,bibek.ghimire1,Slow Internet Connection (FTTH),High Latency seen in single de..,basudev.chaudhary,Field Team,Auto close by sub tt:10240530,,High Latency seen in single device with good RSSI,Field Support,DAMAK,Phone Support CSR,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Full Service Affected,nimesh.nakarmi,Slow Internet Connection (FTTH),Channel Interference..,admin,Phone Support CSR,Auto close by sub tt:10268716,,Channel Interference,Field Support,AMARSINGHCHOWK,Phone Support CSR,sta checked//google ping done//device ping done//ping fluctuation seen//channel changed//now working fine//also informed 5g,BTL,,,
Full Service Affected,rakesh.khadka,IPTV Related Issues,Hardware related issue..,admin,Phone Support CSR,Auto close by sub tt:10377686,,Hardware related issue,Field Support,KALIMATI,Phone Support CSR,,ATL,,,
Full Service Affected,sudeep.magar,No Internet Connection (FTTH),ONU status online [No connecti..,admin,Phone Support CSR,Auto close by sub tt:10380141,,ONU status online [No connection log],Field Support,NEWBANESHWOR,Phone Support CSR,wan status link // query to l2// now working fine ,ATL,,,
Full Service Affected,lalita.thapa,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10319230,,Technical Query,Field Support,KALIMATI,Phone Support CSR,,ATL,,,
Full Service Affected,roshni.sarumagar,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10348384,,ONU status offline,Field Support,CHITWAN,Account,,ATL,,,
Full Service Affected,sujan.giri1,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10394628,,Technical Query,Field Support,CHITWAN,Phone Support CSR,,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,admin,Phone Support CSR,Auto close by sub tt:10250633,,Low power level recorded [< -26 dbm],Field Support,KIRTIPUR,Phone Support CSR,power level is normal,BTL,,,
Full Service Affected,manish.bogati,General Inquiry,Query about Wi-fi SSID/passwor..,milan.rokka,Fiber,Auto close by sub tt:10313322,,Query about Wi-fi SSID/password,Field Support,URLABARI,Phone Support CSR,,BTL,,,
Limited Service,admin,IPTV Related Issues,Others (IPTV)..,anil.pariyar5,Field Team,Auto close by sub tt:10324739,,Others (IPTV),Field Support,KAPAN,Phone Support CSR,FV already scheduled in another tt,ATL,,,
Full Service Affected,nisha.basnet,No Internet Connection (FTTH),No users online in Distributio..,admin,Phone Support CSR,Auto close by sub tt:10329895,,No users online in Distribution/GPON,Field Support,SHUKLAGANDAKI,Phone Support CSR,,ATL,,,
Full Service Affected,sangam.bhujel,No Internet Connection (FTTH),No users online in Distributio..,admin,Phone Support CSR,Auto close by sub tt:10308991,,No users online in Distribution/GPON,Field Support,KIRTIPUR,Phone Support CSR,,BTL,,,
Full Service Affected,rima.magar,Accounts Related Issue,Account Disabled..,admin,Phone Support CSR,Auto close by sub tt:10321565,,Account Disabled,Field Support,BAGAR,Phone Support CSR,,BTL,,,
Full Service Affected,milan.bk,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10352251,,Query about Wi-fi SSID/password,Field Support,BARDIBAS,Phone Support CSR,ssid enabled //as per client working fine ,BTL,,,
Full Service Affected,bipula.rai,No Internet Connection (FTTH),No users online in Distributio..,admin,Phone Support CSR,Auto close by sub tt:10328287,,No users online in Distribution/GPON,Field Support,KOHALPUR,Phone Support CSR,,BTL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Everything seems slow at clien..,rabindra.gairhe,Field Team,Auto close by sub tt:10257537,,Everything seems slow at client end devices.,Field Support,IMADOL,Phone Support CSR,Now working fine as per the client. ,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Full Service Affected,unish.shahi,Accounts Related Issue,Query about Packages..,admin,Phone Support CSR,Auto close by sub tt:10343502,,Query about Packages,Field Support,GATTHAGHAR,Enterprise Marketing,,BTL,,,
Full Service Affected,ritu.karki,General Inquiry,Manage cable..,satyendra.mahato,Field Team,Auto close by sub tt:10272751,,Manage cable,Field Support,PARSA,Phone Support CSR,,BTL,,,
Full Service Affected,arun.khadka,IPTV Related Issues,Error Code 1598:No internet co..,admin,Phone Support CSR,Auto close by sub tt:10356805,,Error Code 1598:No internet connection,Field Support,REGION1-NBU2,Phone Support CSR,suggested client change cable ,BTL,,,
Full Service Affected,sujan.giri1,No Internet Connection (FTTH),OLT Down..,admin,Phone Support CSR,Auto close by sub tt:10326649,,OLT Down,Field Support,GORKHA,Phone Support CSR,,BTL,,,
Full Service Affected,kiran.pokhrel,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10422727,,ONU status offline,Field Support,REGION5-NBU1,Phone Support CSR,wrong tt,BTL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Everything seems slow at clien..,admin,Phone Support CSR,Auto close by sub tt:10350473,,Everything seems slow at client end devices.,Field Support,REGION1-NBU1,Phone Support CSR,,BTL,,,
Full Service Affected,roshni.sarumagar,General Inquiry,Query about Wi-fi SSID/passwor..,buddhiman.lama,Field Support CSR,Auto close by sub tt:10343541,,Query about Wi-fi SSID/password,Field Support,CHITWAN,Account,,BTL,,,
Full Service Affected,chaudhary.rajesh,Accounts Related Issue,Online Payment Query..,khagendra.rana,Fiber O&M,Auto close by sub tt:10405707,,Online Payment Query,Field Support,URLABARI,Phone Support CSR,guide through ewallet,BTL,,,
Full Service Affected,akash.chaudhary,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10360176,,ONU status offline,Field Support,REGION1-NBU2,Phone Support Follow up Team,,BTL,,,
Full Service Affected,vidhya.adhikari,Slow Internet Connection (FTTH),Speed test fine. Slow experien..,admin,Phone Support CSR,Auto close by sub tt:10347303,,Speed test fine. Slow experience on certain sites,Field Support,IMADOL,Phone Support CSR,call not received ,ATL,,,
Full Service Affected,yogesh.roy,Accounts Related Issue,Query about Packages..,admin,Phone Support CSR,Auto close by sub tt:10226126,,Query about Packages,Field Support,MANBHAWAN,Sales Call Center,done,ATL,,,
Full Service Affected,sabita.lama,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10238178,,ONU status offline,Field Support,IMADOL,Phone Support CSR,"Current Rx Power	-20.758",ATL,,,
Full Service Affected,rima.magar,Accounts Related Issue,Payment Query..,kishan.thapa,Customer Care Unit,Auto close by sub tt:10307146,,Payment Query,Field Support,BANSBARI,Phone Support CSR,inform accordingly ,ATL,,,
Full Service Affected,usha.katuwal,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10372972,,Query about Wi-fi SSID/password,Field Support,KIRTIPUR,Phone Support CSR,wireless was disable, enabled now,ATL,,
Full Service Affected,anjali.tamang,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10317760,,Technical Query,Field Support,REGION1-NBU1,Phone Support CSR,mac filter  disabled ,BTL,,,
Full Service Affected,aayush.shrestha1,No Internet Connection (FTTH),Idle Connection..,admin,Phone Support CSR,Auto close by sub tt:10357886,,Idle Connection,Field Support,BAGAR,Phone Support CSR,call disc,BTL,,,
Full Service Affected,srichan.rasaili,IPTV Related Issues,NETTV extend request..,admin,Phone Support CSR,Auto close by sub tt:10267731,,NETTV extend request,Field Support,GATTHAGHAR,Phone Support CSR,netv extended by account diagnostic,ATL,,,
Full Service Affected,sajan.syangtan,IPTV Related Issues,NETTV extend request..,admin,Phone Support CSR,Auto close by sub tt:10438053,,NETTV extend request,Field Support,GATTHAGHAR,Phone Support CSR,as per client rq ,ATL,,,
Full Service Affected,asmita.baral,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10352710,,Query about Wi-fi SSID/password,Field Support,MANBHAWAN,Phone Support CSR,ssid allowed,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Everything seems slow at clien..,admin,Phone Support CSR,Auto close by sub tt:10380453,,Everything seems slow at client end devices.,Field Support,MANBHAWAN,Phone Support CSR,,ATL,,,
Full Service Affected,sujan.giri1,Slow Internet Connection (FTTH),High Latency seen in single de..,kishan.thapa,Customer Care Unit,Auto close by sub tt:10240780,,High Latency seen in single device with good RSSI,Field Support,IMADOL,Phone Support CSR,device in range // packet loss seen in device so suggeted to reboot device and check // also suggested dual band ,BTL,,,
Full Service Affected,jiban.karki,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10360192,,Technical Query,Field Support,MANBHAWAN,Phone Support CSR,inform accordingly,BTL,,,
Full Service Affected,srichan.rasaili,IPTV Related Issues,Blank Screen / No Signal..,admin,Phone Support CSR,Auto close by sub tt:10361649,,Blank Screen / No Signal,Field Support,REGION1-NBU1,Phone Support CSR,,BTL,,,
Full Service Affected,jeevan.ghimire,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10249376,,ONU status offline,Field Support,KAPILVASTU,Field Team,,BTL,,,
Full Service Affected,bishal.gayak,Slow Internet Connection (FTTH),User connected beyond at 2.4Gh..,admin,Phone Support CSR,Auto close by sub tt:10269466,,User connected beyond at 2.4Ghz coverage,Field Support,PEPSICOLA,Phone Support CSR,,BTL,,,
Full Service Affected,sagun.chaudhary,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10293792,,Query about Wi-fi SSID/password,Field Support,KAPAN,Phone Support CSR,ssid enabled //,ATL,,,
Full Service Affected,bibek.ghimire1,IPTV Related Issues,Authentication issue..,admin,Phone Support CSR,Auto close by sub tt:10239591,,Authentication issue,Field Support,KIRTIPUR,Phone Support CSR,OSP sent and guided to enter,ATL,,,
Full Service Affected,saloni.shrestha,Accounts Related Issue,Payment Query..,alish.nagarkoti,Field Team,Auto close by sub tt:10325164,,Payment Query,Field Support,PEPSICOLA,Phone Support CSR,,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Everything seems slow at clien..,admin,Phone Support CSR,Auto close by sub tt:10323053,,Everything seems slow at client end devices.,Field Support,GATTHAGHAR,Phone Support CSR,,ATL,,,
Full Service Affected,sarita.chaudhary,Accounts Related Issue,Account Status Query..,basudev.chaudhary,Field Team,Auto close by sub tt:10289520,,Account Status Query,Field Support,KIRTIPUR,Account,done. ,ATL,,,
Full Service Affected,balkrishna.thami,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10321700,,Technical Query,Field Support,MANBHAWAN,Phone Support CSR,,ATL,,,
Full Service Affected,sanish.maharjan1,No Internet Connection (FTTH),ONU online - ONU IP Issue..,sachin.pakhrin,Customer Care Unit,Auto close by sub tt:10304751,,ONU online - ONU IP Issue,Field Support,MANBHAWAN,Phone Support CSR,,ATL,,,
Full Service Affected,sudhira.shakya,No Internet Connection (FTTH),ONU status offline..,sachin.pakhrin,Customer Care Unit,Auto close by sub tt:10306956,,ONU status offline,Field Support,GATTHAGHAR,Phone Support CSR,,ATL,,,
Full Service Affected,diya.deshar,No Internet Connection (FTTH),No users online in Distributio..,admin,Phone Support CSR,Auto close by sub tt:10331726,,No users online in Distribution/GPON,Field Support,KIRTIPUR,Phone Support CSR,,BTL,,,
Full Service Affected,ambika.mahato,Accounts Related Issue,Query about Packages..,admin,Phone Support CSR,Auto close by sub tt:10339688,,Query about Packages,Field Support,DHOLAHITI,Phone Support CSR,infn provide for acc renue payment query // with nettv package ,ATL,,,
Limited Service,admin,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10198742,,ONU status offline,Field Support,LEKHNATH,Phone Support CSR,,ATL,,,
Full Service Affected,nikhil.tuladhar,No Internet Connection (FTTH),No users online in Distributio..,sachin.pakhrin,Customer Care Unit,Auto close by sub tt:10292692,,No users online in Distribution/GPON,Field Support,SALLAGHARI,Phone Support CSR,,ATL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Everything seems slow at clien..,dipak.rawat5,Fiber O&M,Auto close by sub tt:10354649,,Everything seems slow at client end devices.,Field Support,SALLAGHARI,Phone Support CSR,,ATL,,,
Full Service Affected,bibesh.shrestha,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10322114,,Query about Wi-fi SSID/password,Field Support,BUTWAL,Phone Support CSR,,BTL,,,
Full Service Affected,sanish.khadgi,General Inquiry,Manage cable..,basudev.chaudhary,Field Team,Auto close by sub tt:10261356,,Manage cable,Field Support,BIRGUNJ,Phone Support CSR,,ATL,,,
Full Service Affected,arusa.tamang,Accounts Related Issue,Account extend request..,lekh.narayan,Field Team,Auto close by sub tt:10430281,,Account extend request,Field Support,BIRGUNJ,Phone Support CSR,,ATL,,,
Full Service Affected,saurab.bhandari,General Inquiry,Location shifting query..,admin,Phone Support CSR,Auto close by sub tt:10265799,,Location shifting query,Field Support,KALIMATI,Enterprise Marketing,tt updated from kalimati brnach ,ATL,,,
Full Service Affected,hemant.karki,No Internet Connection (FTTH),ONU status online [No connecti..,khagendra.rana,Fiber O&M,Auto close by sub tt:10368005,,ONU status online [No connection log],Field Support,SATUNGAL,Phone Support CSR,solved,ATL,,,
Full Service Affected,kalpana.chantyal5,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10252746,,ONU status offline,Field Support,BAGLUNG,Account,,ATL,,,
Full Service Affected,abhishek.sunuwar,Slow Internet Connection (FTTH),Channel interference seen at 5..,admin,Phone Support CSR,Auto close by sub tt:10291979,,Channel interference seen at 5Ghz,Field Support,BOUDDHA,Phone Support CSR,,ATL,,,
Full Service Affected,suyog.khawash,Accounts Related Issue,Query about Packages..,admin,Phone Support CSR,Auto close by sub tt:10261870,,Query about Packages,Field Support,BALAJU,Phone Support CSR,Ticket with ticket id 7646335 is created.// for iptv installation,,,,
,,,,,,,,,,,,,,,,
Full Service Affected,ganga.lama,Accounts Related Issue,IPTV Related Issues...,admin,Phone Support CSR,Auto close by sub tt:10318106,,IPTV Related Issues.,Field Support,SATUNGAL,Phone Support CSR,suggested to client pay nettv amount ,ATL,,,
Full Service Affected,kumar.bomjan,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10314477,,Query about Wi-fi SSID/password,Field Support,SALLAGHARI,Phone Support CSR,wireless enabled //client  verified ,ATL,,,
Full Service Affected,ronisa.shrestha,No Internet Connection (FTTH),No users online in Distributio..,admin,Phone Support CSR,Auto close by sub tt:10354937,,No users online in Distribution/GPON,Field Support,BALAJU,Phone Support CSR,,ATL,,,
Full Service Affected,anit.waiba,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10365959,,ONU status offline,Field Support,BALAJU,Phone Support CSR,,ATL,,,
Full Service Affected,aviral.sapkota,IPTV Related Issues,Blank Screen / No Signal..,admin,Phone Support CSR,Auto close by sub tt:10324223,,Blank Screen / No Signal,Field Support,SITAPAILA,Branch Supervisor,,ATL,,,
Full Service Affected,admin,Online Gaming Issue,PUBG Mobile..,admin,Phone Support CSR,Auto close by sub tt:10277819,,PUBG Mobile,Field Support,SALLAGHARI,Phone Support CSR,default pool assigned --issue solved ,ATL,,,
Full Service Affected,krishnakumar.pandit,IPTV Related Issues,Hardware related issue..,admin,Phone Support CSR,Auto close by sub tt:10321124,,Hardware related issue,Field Support,BIRGUNJ,Fiber O&M,,BTL,,,
Full Service Affected,bijay.kumal,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10320578,,ONU status offline,Field Support,BUTWAL,Field Support CSR,,BTL,,,
Full Service Affected,basnet.aayush,No Internet Connection (FTTH),Disconnection problem..,bijaya.rayamajhi,Field Team,Auto close by sub tt:10272229,,Disconnection problem,Field Support,NEWBANESHWOR,Phone Support CSR,,ATL,,,
Full Service Affected,binesh.dangol,IPTV Related Issues,Query about YouTube Services..,amit.chaudhary3,Fiber O&M,Auto close by sub tt:10294105,,Query about YouTube Services,Field Support,LAMAHI,Phone Support CSR,,BTL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,amit.chaudhary3,Fiber O&M,Auto close by sub tt:10188275,,Low power level recorded [< -26 dbm],Field Support,LAHAN,Phone Support CSR,,BTL,,,
Full Service Affected,ritu.karki,No Internet Connection (FTTH),ONU status offline..,bhusank.panday,Fiber O&M,Auto close by sub tt:10281409,,ONU status offline,Field Support,LAMAHI,Phone Support CSR,,BTL,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,mudhan.thapa,Fiber O&M,Auto close by sub tt:10341483,,Low power level recorded [< -26 dbm],Field Support,NEPALGUNJ,Phone Support CSR,,BTL,,,
Full Service Affected,vidhya.adhikari,Accounts Related Issue,Account extend request..,rajkumar.chaudhary2,Fiber O&M,Auto close by sub tt:10372177,,Account extend request,Field Support,KALAIYA,Phone Support CSR,req by client,BTL,,,
Full Service Affected,laxman.bhusal,No Internet Connection (FTTH),ONU status offline..,bishnu.rana01,Field Team,Auto close by sub tt:10341583,,ONU status offline,Field Support,MANIGRAM,Enterprise Support,,BTL,,,
Full Service Affected,dipesh.maharjan1,No Internet Connection (FTTH),ONU status offline..,rajkumar.chaudhary2,Fiber O&M,Auto close by sub tt:10216155,,ONU status offline,Field Support,LAHAN,Phone Support CSR,,BTL,,,
Full Service Affected,bishal1.basnet,Slow Internet Connection (FTTH),User connected at 2.4 Ghz..,admin,Phone Support CSR,Auto close by sub tt:10347685,,User connected at 2.4 Ghz,Field Support,NEWBANESHWOR,Phone Support CSR,signal//speed//ping //fine//user shifted//now working,ATL,,,
Limited Service,kiran.tharu,No Internet Connection (FTTH),No users online in Distributio..,admin,Phone Support CSR,Auto close by sub tt:10353508,,No users online in Distribution/GPON,Field Support,BIRGUNJ,Phone Support CSR,,ATL,,,
Full Service Affected,sudhira.shakya,General Inquiry,Query about Wi-fi SSID/passwor..,admin,Phone Support CSR,Auto close by sub tt:10307093,,Query about Wi-fi SSID/password,Field Support,SALLAGHARI,Phone Support CSR,provided password after client verified and informed accordingly,ATL,,,
Full Service Affected,kavita.thapa,Accounts Related Issue,Account extend request..,admin,Phone Support CSR,Auto close by sub tt:10265375,,Account extend request,Field Support,BOUDDHA,Phone Support CSR,for 3days,ATL,,,
Full Service Affected,binita.shrestha,Accounts Related Issue,Online Payment Query..,nishan.magar,Field Team,Auto close by sub tt:10253033,,Online Payment Query,Field Support,KALIMATI,Phone Support CSR,guided  to pay through e-sewa/khalti app,ATL,,,
Full Service Affected,bijika.amatya,Accounts Related Issue,Online Payment Query..,khagendra.rana,Fiber O&M,Auto close by sub tt:10350629,,Online Payment Query,Field Support,DHANGADHI,Phone Support CSR,suggested client to pay through khalti ,BTL,,,
Full Service Affected,yamkala.pantha,Accounts Related Issue,Payment Query..,admin,Phone Support CSR,Auto close by sub tt:10348051,,Payment Query,Field Support,MAHENDRANAGAR,Phone Support CSR,,BTL,,,
Full Service Affected,admin,Accounts Related Issue,Account extend request..,admin,Phone Support CSR,Auto close by sub tt:10373921,,Account extend request,Field Support,BIRGUNJ,Phone Support CSR,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Full Service Affected,prashna.rai,IPTV Related Issues,Blank Screen / No Signal..,anil.pariyar5,Field Team,Auto close by sub tt:10326936,,Blank Screen / No Signal,Field Support,SATUNGAL,Phone Support CSR,call not received,ATL,,,
Full Service Affected,yamkala.pantha,General Inquiry,Query about Wi-fi SSID/passwor..,satyendra.mahato,Field Team,Auto close by sub tt:10365459,,Query about Wi-fi SSID/password,Field Support,AMARSINGHCHOWK,Phone Support CSR,verified and password provided.,ATL,,,
Full Service Affected,arun.khadka,IPTV Related Issues,Error Code 1598:No internet co..,admin,Phone Support CSR,Auto close by sub tt:10346168,,Error Code 1598:No internet connection,Field Support,JANAKPUR,Phone Support CSR,suggested client change lan cable,ATL,,,
Full Service Affected,usha.katuwal,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10367805,,ONU status offline,Field Support,AMARSINGHCHOWK,Phone Support CSR,working ,ATL,,,
Full Service Affected,alina.moktan,No Internet Connection (FTTH),No users online in Distributio..,admin,Phone Support CSR,Auto close by sub tt:10319566,,No users online in Distribution/GPON,Field Support,KOTESHWOR,Phone Support CSR,,ATL,,,
Full Service Affected,rupesh.stsh,Slow Internet Connection (FTTH),Low power level recorded [< -2..,lekh.narayan,Field Team,Auto close by sub tt:10280987,,Low power level recorded [< -26 dbm],Field Support,BOUDDHA,Field Support CSR,,ATL,,,
Full Service Affected,lila.guragain,No Internet Connection (FTTH),Disconnection problem..,lokendra.budhamagar,Field Team,Auto close by sub tt:10257386,,Disconnection problem,Field Support,BIRTAMOD,Enterprise Support,ds down solve, call not reachable called 3 times,ATL,,
Full Service Affected,chaudhary.kanchan,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10404980,,ONU status offline,Field Support,SITAPAILA,Phone Support CSR,,ATL,,,
Full Service Affected,suyog.khawash,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10427542,,ONU status offline,Field Support,MAHENDRAPOOL,Phone Support CSR,,ATL,,,
Full Service Affected,ganga.lama,No Internet Connection (FTTH),Username not found on FTTH..,admin,Phone Support CSR,Auto close by sub tt:10435474,,Username not found on FTTH,Field Support,KOTESHWOR,Phone Support CSR,check after a while,ATL,,,
Full Service Affected,suraj.magar,Accounts Related Issue,IPTV Related Issues...,admin,Phone Support CSR,Auto close by sub tt:10393067,,IPTV Related Issues.,Field Support,SITAPAILA,Phone Support CSR,informed client to pay for nettv,ATL,,,
Limited Service,admin,No Internet Connection (FTTH),ONU status offline..,admin,Phone Support CSR,Auto close by sub tt:10305122,,ONU status offline,Field Support,KALIMATI,Phone Support CSR,,ATL,,,
Full Service Affected,dhawa.tamang,No Internet Connection (FTTH),Idle Connection..,sachin.pakhrin,Customer Care Unit,Auto close by sub tt:10247104,,Idle Connection,Field Support,BOUDDHA,Phone Support CSR,,ATL,,,
Full Service Affected,gyanendra.bam,Accounts Related Issue,Account extend request..,jeevan.kumal5,Field Team,Auto close by sub tt:10310491,,Account extend request,Field Support,BOUDDHA,Phone Support CSR,as per client request 3 days extend //suggest use worldlink app ,ATL,,,
Full Service Affected,babit.rokaya,No Internet Connection (FTTH),No users online in Distributio..,basudev.chaudhary,Field Team,Auto close by sub tt:10330554,,No users online in Distribution/GPON,Field Support,SATUNGAL,Phone Support CSR,,ATL,,,
Full Service Affected,malati.shrestha,Accounts Related Issue,Account Disabled..,admin,Phone Support CSR,Auto close by sub tt:10324035,,Account Disabled,Field Support,BALAJU,Phone Support CSR,as per client internet not working//inform client payment finish//also account extend requst//3 days extended,ATL,,,
Full Service Affected,bibesh.shrestha,General Inquiry,Technical Query..,admin,Phone Support CSR,Auto close by sub tt:10303676,,Technical Query,Field Support,KOTESHWOR,Phone Support CSR,,ATL,,,
Full Service Affected,janaki.thapa,Accounts Related Issue,Account extend request..,admin,Phone Support CSR,Auto close by sub tt:10253270,,Account extend request,Field Support,BOUDDHA,Phone Support CSR,,ATL,,,
